accuracy_base,accuracy_base_err,accuracy_large,accuracy_large_err,dynamic_accuracy,dynamic_accuracy_err,cost_base,cost_large,dynamic_cost,ibc_base2large,ibc_base2large_err,ibc_base2model,ibc_base2model_err,ibc_large2model,ibc_large2model_err,dibc_base2large,dibc_base2large_err,experiment_name,subject
,,,,,,0.0,0.0,0.0,,,,,,,,,self_verification_1_base,abstract_algebra
0.4888888888888889,0.04302252151036938,0.7111111111111111,0.03900922006544494,0.7037037037037037,0.03944624162501111,532202.0,6402816.0,6431209.0,3.7853318617477195e-08,9.892419766851256e-09,3.6415419546851674e-08,9.894720788249548e-09,-2.608885079916676e-07,1.9539058798830106e-06,-3.798607686570528,36.26765766014818,self_verification_1_base,anatomy
0.3815789473684211,0.039401480593810184,0.7828947368421053,0.03343990759822564,0.7763157894736842,0.033911609343436046,683877.0,7161376.0,7584307.0,6.195536108514787e-08,7.97821124755498e-09,5.7204673057369336e-08,7.533635453855254e-09,-1.5555604503857906e-08,1.1260910724834562e-07,-7.667920813582961,17.006782493087847,self_verification_1_base,astronomy
0.39,0.048774993593028795,0.66,0.04737087712930805,0.64,0.048241815132442176,398222.0,4699136.0,4827658.0,6.277735383688212e-08,1.5808883102809847e-08,5.6440594242698165e-08,1.5487813643866463e-08,-1.5561538102426057e-07,5.260670382143463e-07,-10.094021501207441,33.485119482692504,self_verification_1_base,business_ethics
0.5018867924528302,0.030714537152732188,0.7886792452830189,0.025078314569983443,0.7773584905660378,0.025604233470899053,1083261.0,12576448.0,12935954.0,2.4953257336732513e-08,3.4500697639102983e-09,2.32412750514341e-08,3.373663051660678e-09,-3.1489751817719674e-08,9.96920852732074e-08,-6.860756742881352,18.67136537946801,self_verification_1_base,clinical_knowledge
0.4375,0.04133986423538423,0.7708333333333334,0.03502472396151391,0.7569444444444444,0.03586879280080337,608382.0,6751296.0,7101453.0,5.4263063642651254e-08,8.820283811698887e-09,4.9197743940339545e-08,8.429241047814513e-09,-3.9664747210219847e-08,1.4317246090362256e-07,-9.334746994141927,21.412504040006986,self_verification_1_base,college_biology
0.3,0.04582575694955839,0.53,0.04990991885387112,0.52,0.05021167315686782,547982.0,4687136.0,5014123.0,5.556691053292534e-08,1.6369750549493854e-08,4.9259528528096185e-08,1.522108186923094e-08,-3.058225556367687e-08,2.1651312802240158e-07,-11.350967589050699,37.84659437983311,self_verification_1_base,college_chemistry
0.31,0.046249324319388704,0.62,0.04853864439804639,0.58,0.04960449637488583,455084.0,4587872.0,4693082.0,7.500989646698548e-08,1.6222647076851494e-08,6.370932690388243e-08,1.600293242453872e-08,-3.8019199695846437e-07,6.596499643408001e-07,-15.065438155986294,28.15281925243137,self_verification_1_base,college_computer_science
0.14,0.03469870314579494,0.42,0.049355850717012276,0.41,0.04943110704237103,543946.0,4676768.0,4763428.0,6.775031685371399e-08,1.4598357373241198e-08,6.398889721534538e-08,1.4313129576207917e-08,-1.1539349180706218e-07,8.060575582029802e-07,-5.551884940243506,29.33400392472064,self_verification_1_base,college_mathematics
0.3930635838150289,0.03713470269024848,0.6994219653179191,0.03485982497649053,0.7052023121387283,0.034765996075164764,723466.0,7951328.0,8474388.0,4.238575411413364e-08,7.0467900880764804e-09,4.027117397436065e-08,6.562968086393626e-09,1.1051020572800807e-08,9.412483255549197e-08,-4.988893518513284,22.11929634073517,self_verification_1_base,college_medicine
